"id","name","code_prefix_start","code_prefix_end"
"pt_ag_6226322","Conservação e Reparação - Mercado Extracomunitário - VLPHP - Sujeito a Tributação Autónoma (7,5%)","6226322","6226322"
"pt_ag_6226323","Conservação e Reparação - Mercado Extracomunitário - VLPHP - Sujeito a Tributação Autónoma (15%)","6226323","6226323"
"pt_ag_6226324","Conservação e Reparação - Mercado Extracomunitário - VLPHP - Sujeito a Tributação Autónoma (0%)","6226324","6226324"
"pt_ag_622633","Conservação e Reparação - Mercado Extracomunitário - Viaturas Ligeiras de Passageiros movidas a GPL ou GNV","622633","622633"
"pt_ag_6226331","Conservação e Reparação - Mercado Extracomunitário - GPL ou GNV - Sujeito a Tributação Autónoma (2,5%)","6226331","6226331"
"pt_ag_6226332","Conservação e Reparação - Mercado Extracomunitário - GPL ou GNV - Sujeito a Tributação Autónoma (7,5%)","6226332","6226332"
"pt_ag_6226333","Conservação e Reparação - Mercado Extracomunitário - GPL ou GNV - Sujeito a Tributação Autónoma (15%)","6226333","6226333"
"pt_ag_6226334","Conservação e Reparação - Mercado Extracomunitário - GPL ou GNV - Sujeito a Tributação Autónoma (0%)","6226334","6226334"
"pt_ag_622634","Conservação e Reparação - Mercado Extracomunitário - Viaturas Ligeiras de Passageiros movidas exclusivamente a Energia Elétrica","622634","622634"
"pt_ag_6226341","Conservação e Reparação - Mercado Extracomunitário - Energia Elétrica - Sujeito a Tributação Autónoma (10%)","6226341","6226341"
"pt_ag_6226342","Conservação e Reparação - Mercado Extracomunitário - Energia Elétrica - Sujeito a Tributação Autónoma (0%)","6226342","6226342"
"pt_ag_6228","Outros","6228","6228"
"pt_ag_623","Materiais","623","623"
"pt_ag_6231","Ferramentas e utensílios de desgaste rápido","6231","6231"
"pt_ag_6232","Livros e documentação técnica","6232","6232"
"pt_ag_6233","Material de escritório","6233","6233"
"pt_ag_6234","Artigos para oferta","6234","6234"
"pt_ag_6238","Outros","6238","6238"
"pt_ag_624","Energia e Fluidos","624","624"
"pt_ag_6241","Eletricidade","6241","6241"
"pt_ag_6242","Combustíveis","6242","6242"
"pt_ag_62421","Combustíveis - Mercado Nacional","62421","62421"
"pt_ag_624211","Combustíveis - Mercado Nacional - Viaturas Ligeiras de Passageiros e de Mercadorias","624211","624211"
"pt_ag_6242111","Combustíveis - Mercado Nacional - VLPM - Sujeito a Tributação Autónoma (8%)","6242111","6242111"
"pt_ag_62421111","Combustíveis - Mercado Nacional - VLPM - Sujeito a TA (8%) - Gasolina","62421111","62421111"
"pt_ag_62421112","Combustíveis - Mercado Nacional - VLPM - Sujeito a TA (8%) - Gasóleo","62421112","62421112"
"pt_ag_6242112","Combustíveis - Mercado Nacional - VLPM - Sujeito a Tributação Autónoma (25%)","6242112","6242112"
"pt_ag_62421121","Combustíveis - Mercado Nacional - VLPM - Sujeito a TA (25%) - Gasolina","62421121","62421121"
"pt_ag_62421122","Combustíveis - Mercado Nacional - VLPM - Sujeito a TA (25%) - Gasóleo","62421122","62421122"
